Time	Drift_x	Drift_y
0.01	1.0248565965583174e-07	-6.061185468451242e-07
0.02	2.944550669216061e-07	-2.6768642447418734e-06
0.03	2.944550669216061e-07	-5.564053537284895e-06
0.04	-6.290630975143403e-08	-7.437858508604205e-06
0.05	-6.730401529636711e-07	-7.724665391969406e-06
0.06	-1.219885277246654e-06	-7.284894837476099e-06
0.07	-1.1548757170172084e-06	-7.131931166347992e-06
0.08	-2.4856596558317396e-07	-7.495219885277246e-06
0.09	9.158699808795411e-07	-8.432122370936902e-06
0.1	1.565965583173996e-06	-9.88527724665392e-06
0.11	1.3938814531548756e-06	-1.0994263862332696e-05
0.12	6.003824091778202e-07	-1.1032504780114721e-05
0.13	-5.583173996175908e-07	-1.0210325047801145e-05
0.14	-1.6328871892925428e-06	-9.273422562141491e-06
0.15	-1.8642447418738048e-06	-8.69980879541109e-06
0.16	-8.393881453154875e-07	-8.470363288718929e-06
0.17	7.476099426386233e-07	-7.839388145315487e-06
0.18	1.6022944550669213e-06	-6.175908221797323e-06
0.19	1.32887189292543e-06	-3.8432122370936904e-06
0.2	4.244741873804971e-07	-2.084130019120459e-06
0.21	-5.296367112810707e-07	-1.803059273422562e-06
0.22	-1.0172084130019119e-06	-3.0401529636711278e-06
0.23	-9.521988527724664e-07	-4.875717017208412e-06
0.24	-7.131931166347991e-07	-6.0803059273422556e-06
0.25	-3.8623326959847037e-07	-6.137667304015296e-06
0.26	7.954110898661567e-08	-5.353728489483747e-06
0.27	4.913957934990439e-07	-4.703632887189292e-06
0.28	5.1434034416826e-07	-5.009560229445506e-06
0.29	3.938814531548757e-07	-6.462715105162524e-06
0.3	4.3594646271510514e-07	-8.776290630975143e-06
0.31	-1.950286806883365e-07	-1.2122370936902485e-05
0.32	-2.906309751434034e-06	-1.764818355640535e-05
0.33	-5.564053537284895e-06	-2.160611854684512e-05
0.34	-3.4608030592734224e-06	-1.5889101338432122e-05
0.35	3.1739961759082217e-08	-8.107074569789675e-06
0.36	2.1606118546845123e-07	-1.0191204588910134e-05
0.37	2.7342256214149137e-06	-1.1720841300191204e-05
0.38	6.5965583173996166e-06	-5.239005736137666e-06
0.39	3.5372848948374755e-06	-3.690248565965583e-06
0.4	-3.001912045889101e-06	-8.393881453154875e-06
0.41	-5.487571701720841e-06	-6.271510516252389e-06
0.42	-3.346080305927342e-06	-4.187380497131931e-06
0.43	-2.695984703632887e-07	-1.1013384321223708e-05
0.44	7.74378585086042e-07	-9.120458891013383e-06
0.45	-7.036328871892925e-07	-2.1414913957934987e-06
0.46	1.5774378585086042e-07	-3.1739961759082216e-06
0.47	4.206500956022944e-06	2.294455066921606e-06
0.48	3.652007648183556e-06	5.9273422562141485e-06
0.49	1.0898661567877626e-06	-4.2829827915869975e-06
0.5	6.864244741873805e-07	-1.1051625239005736e-05
0.51	-1.7686424474187377e-06	-9.483747609942637e-06
0.52	-3.7093690248565962e-06	-1.3078393881453153e-05
0.53	-2.523900573613767e-06	-1.4933078393881451e-05
0.54	-2.5812619502868066e-06	-6.271510516252389e-06
0.55	-1.3078393881453154e-06	-6.38623326959847e-06
0.56	5.583173996175908e-06	-7.51434034416826e-06
0.57	7.5717017208412996e-06	-4.359464627151051e-06
0.58	9.024856596558316e-07	-1.2562141491395792e-05
0.59	-2.60038240917782e-06	-1.3059273422562142e-05
0.6	-3.441682600382409e-06	-7.3422562141491385e-06
0.61	-5.430210325047801e-06	-1.2351816443594646e-05
0.62	-3.1166347992351813e-06	-1.0554493307839388e-05
0.63	8.585086042065009e-07	-2.6768642447418734e-06
0.64	4.913957934990439e-07	-8.87189292543021e-06
0.65	2.045889101338432e-06	-6.38623326959847e-06
0.66	5.430210325047801e-06	8.948374760994262e-06
0.67	3.3269598470363286e-06	-6.061185468451242e-07
0.68	2.5047801147227533e-07	-7.91586998087954e-06
0.69	-2.8871892925430207e-06	3.4608030592734224e-06
0.7	-5.162523900573613e-06	-9.617590822179732e-06
0.71	-1.3690248565965582e-06	-1.9885277246653915e-05
0.72	2.084130019120459e-06	-1.2715105162523898e-06
0.73	-6.309751434034416e-08	-3.90057361376673e-06
0.74	-5.009560229445507e-07	-1.4760994263862332e-05
0.75	3.1548757170172083e-06	2.829827915869981e-06
0.76	3.7858508604206498e-06	1.644359464627151e-06
0.77	2.523900573613767e-06	-1.9120458891013384e-05
0.78	-5.965583173996175e-08	-1.3632887189292542e-05
0.79	-5.391969407265774e-06	-1.0592734225621414e-05
0.8	-4.703632887189292e-06	-2.0267686424474187e-05
0.81	-3.6328871892925425e-07	-7.686424474187381e-06
0.82	-2.1797323135755253e-06	-1.8317399617590821e-06
0.83	-2.2753346080305925e-06	-1.3690248565965583e-05
0.84	4.531548757170172e-06	-4.531548757170172e-06
0.85	7.762906309751432e-06	3.097514340344168e-06
0.86	3.652007648183556e-06	-6.520076481835564e-06
